Serial No,Book Page,Topic,Question,Option A,Option B,Option C,Option D,Option E,Correct Answer,Explanation
2665,386,Plant Physiology,"According to Dr. J.P. Leagans, what is the first step in the extension education process?",Situation,Objective,Teaching,Evaluation,None of these,A,"According to Dr. J.P. Leagans, the first step in the extension education process is 'Situation'."
2666,386,Plant Physiology,Which type of education is extension education classified under?,Formal education,Non-formal education,Informal education,Structured education,None of these,B,Extension education is classified under non-formal education as it is not highly institutionalized and helps people face actual life situations.
2667,386,Plant Physiology,What is the final step in the extension education process according to Dr. J.P. Leagans?,Situation,Objective,Reconsideration,Teaching,None of these,C,"According to Dr. J.P. Leagans, the final step in the extension education process is 'Reconsideration'."
2668,387,Plant Physiology,What is the primary purpose of the Cone of Experience as modified by Sheal (1989)?,To illustrate the hierarchy of learning experiences from abstract to concrete,To categorize different teaching methods,To measure the effectiveness of teaching strategies,To evaluate student performance,None of these,A,"The Cone of Experience illustrates the hierarchy of learning experiences from abstract to concrete, helping educators understand how different types of experiences contribute to learning."
2669,387,Plant Physiology,Which of the following is the correct sequence of steps in the extension teaching process according to Wilson and Gallup (1955)?,"Attention, Interest, Desire, Conviction, Action, Satisfaction","Awareness, Interest, Evaluation, Trial, Adoption","Interest, Desire, Conviction, Action, Satisfaction, Attention","Conviction, Action, Satisfaction, Attention, Interest, Desire",None of these,A,"The correct sequence of steps in the extension teaching process according to Wilson and Gallup (1955) is Attention, Interest, Desire, Conviction, Action, Satisfaction, remembered by the acronym 'AIDCAS'."
2670,387,Plant Physiology,What does the term 'Adoption' refer to in the context of innovation?,The mental process of deciding to use an innovation as the best course of action,The process of communicating an innovation through certain channels,The stage where an individual evaluates an innovation,The process of creating a new innovation,None of these,A,Adoption refers to the mental process of deciding to make full use of an innovation as the best course of action available.
2671,387,Plant Physiology,Which of the following is NOT a stage in the adoption process according to Hamberg?,Awareness,Interest,Conviction,Trial,None of these,C,"The stages in the adoption process according to Hamberg are Awareness, Interest, Evaluation, Trial, and Adoption, remembered by the acronym 'AIETA'. Conviction is not one of these stages."
2672,387,Plant Physiology,What is the main focus of the 'Interest' stage in the adoption process?,Creating awareness about the innovation,Generating curiosity and interest in the innovation,Evaluating the innovation,Trying out the innovation,None of these,B,The 'Interest' stage in the adoption process focuses on generating curiosity and interest in the innovation among potential adopters.
2673,387,Plant Physiology,Which stage in the extension teaching process involves the actual implementation of the new practice or innovation?,Desire,Conviction,Action,Satisfaction,None of these,C,The 'Action' stage in the extension teaching process involves the actual implementation of the new practice or innovation.
2674,387,Plant Physiology,What is the final stage in the adoption process according to Hamberg?,Evaluation,Trial,Adoption,Interest,None of these,C,"The final stage in the adoption process according to Hamberg is 'Adoption', where the individual decides to make full use of the innovation."
2675,388,Plant Physiology,"Which category of adopters is characterized by being venturesome, adventurous, and oriented to take risks?",Innovators,Early adopters,Early majority,Late majority,None of these,A,"Innovators are described as the first people to adopt a new idea, characterized by being venturesome, adventurous, and oriented to take risks."
2676,388,Plant Physiology,What percentage of the total population do early adopters represent?,2.5%,13.5%,34%,16%,None of these,B,Early adopters share about 13.5% of the general population.
2677,388,Plant Physiology,Which category of adopters is known for having the greatest opinion leadership?,Innovators,Early adopters,Early majority,Late majority,None of these,B,Early adopters are described as having the greatest opinion leadership and are considered 'the man to check with' before using a new idea.
2678,388,Plant Physiology,Which category of adopters is described as 'deliberate' by the social system and are called 'neighbours and friends'?,Innovators,Early adopters,Early majority,Late majority,None of these,C,The early majority are considered deliberate by the social system and are called 'neighbours and friends' from whom most farmers seek information.
2679,388,Plant Physiology,Which category of adopters is considered skeptical and adopts new ideas just after the average member of a social system?,Innovators,Early adopters,Early majority,Late majority,None of these,D,The late majority are considered skeptical and adopt new ideas just after the average member of a social system.
2680,388,Plant Physiology,Which category of adopters is the last to adopt an innovation and possesses almost no opinion leadership?,Innovators,Early adopters,Early majority,Laggards,None of these,D,Laggards are the last to adopt an innovation and possess almost no opinion leadership.
2681,388,Plant Physiology,What percentage of the total population do laggards represent?,2.5%,13.5%,34%,16%,None of these,D,Laggards represent 16% of the total population.
2682,389,Plant Physiology,"Which model of communication consists of the elements: Speaker, Speech, and Audience?",Aristotle model,Berlo's model,Shannon-Weaver model,Schramm model,None of these,A,"The Aristotle model of communication consists of three elements: Speaker, Speech, and Audience (SSA)."
2683,389,Plant Physiology,"In Berlo's model of communication, what does SMCR stand for?",Source-Message-Channel-Receiver,Speaker-Message-Channel-Response,Source-Message-Channel-Response,Speaker-Message-Channel-Receiver,None of these,A,"Berlo's model is also known as the SMCR model, which stands for Source-Message-Channel-Receiver."
2684,389,Plant Physiology,"Which model of communication includes the elements: Communicator, Message, Channel, Treatment, Audience, and Response?",Legan's model,Berlo's model,Shannon-Weaver model,Westley-MacLean model,None of these,A,"Legan's model of communication includes six elements: Communicator, Message, Channel, Treatment, Audience, and Response (CMCTAR)."
2685,389,Plant Physiology,The Shannon-Weaver model of communication consists of how many elements?,3,4,5,6,None of these,C,"The Shannon-Weaver model of communication consists of five elements: Source, Transmitter, Signal, Receiver, and Destination (STSRD)."
2686,389,Plant Physiology,"Which model of communication is known for including the elements: ethos, pathos, and logos?",Aristotle model,Berlo's model,Schramm model,Rogers and Shoemaker model,None of these,A,"The Aristotle model of communication is known for including the elements: ethos, pathos, and logos."
2687,389,Plant Physiology,What are the five elements in the Schramm model of communication?,"Source, Encoder, Signal, Decoder, Destination","Source, Message, Channel, Receiver, Effects","Speaker, Speech, Audience, Ethos, Pathos","Communicator, Message, Channel, Treatment, Audience",None of these,A,"The Schramm model of communication consists of five elements: Source, Encoder, Signal, Decoder, and Destination (SESDD)."
2688,389,Plant Physiology,Which model of communication includes the element 'Effects'?,Rogers and Shoemaker model,Berlo's model,Shannon-Weaver model,Westley-MacLean model,None of these,A,"The Rogers and Shoemaker model of communication includes the element 'Effects' and consists of five elements: Source, Message, Channel, Receiver, and Effects (SMCRE)."
2689,390,Plant Physiology,Which of the following is NOT an example of an individual contact method in agricultural communication?,Farm and home visit,Symposium,Telephone call,Personal letters,None of these,B,"Symposium is an example of a group contact method, not an individual contact method. Individual contact methods include face-to-face or person-to-person interactions like farm and home visits, telephone calls, and personal letters."
2690,390,Plant Physiology,What is the primary advantage of mass contact methods in agricultural communication?,High quantum of feedback,Quick awareness of new agricultural technology,Face-to-face contact,Effective teaching,None of these,B,Mass contact methods are primarily useful for making people aware of new agricultural technology quickly. They reach a large audience but do not provide face-to-face contact or high feedback.
2691,390,Plant Physiology,Which of the following is an example of a non-projected visual aid?,Slide,Motion film,Poster,Overhead projector,None of these,C,"A poster is an example of a non-projected visual aid. Non-projected visual aids include items like photographs, diagrams, and posters that can be seen but do not require projection."
2692,390,Plant Physiology,What is the origin of the word 'Psychology'?,Latin words,German words,Greek words,French words,None of these,C,The word 'Psychology' is derived from two Greek words: 'Psyche' meaning soul and 'Logos' meaning science.
2693,390,Plant Physiology,Which of the following is an example of an audio-visual aid?,Radio,Television,Poster,Chart,None of these,B,Television is an example of an audio-visual aid because it combines both audio and visual elements. Other examples include cinema and video.
2694,390,Plant Physiology,What is a characteristic feature of group contact methods in agricultural communication?,More than 30 persons,Face-to-face contact with a group of 2-30 persons,Slow communication,High quantum of feedback,None of these,B,Group contact methods involve face-to-face contact with a group of 2-30 persons who usually share a common interest.
2695,390,Plant Physiology,Which of the following is an example of a projected visual aid?,Photograph,Diagram,Slide,Model,None of these,C,A slide is an example of a projected visual aid. Projected visual aids require projection equipment to display the visual content.
2696,391,Plant Physiology,What does the term 'I.Q.' stand for in the context of human intelligence?,Intelligence Quotient,Intellectual Quality,Information Quantity,Intuitive Quotient,None of these,A,"I.Q. stands for Intelligence Quotient, which is the ratio between mental age and chronological age, expressed in percentage."
2697,391,Plant Physiology,"According to the Terman Merril test, what I.Q. range is classified as 'Average'?",90-95,95-105,105-125,75-90,None of these,B,The Terman Merril test classifies the I.Q. range of 95-105 as 'Average'.
2698,391,Plant Physiology,Who is referred to as the father of sociology?,Karl Marx,Auguste Compte,Emile Durkheim,Max Weber,None of these,B,Auguste Compte is referred to as the father of sociology.
2699,391,Plant Physiology,What is the primary unit of production in rural society?,Individual,Community,Family,Government,None of these,C,The primary unit of production in rural society is the family.
2700,391,Plant Physiology,Which of the following is an example of 'Folkways'?,Monogamy,Saluting the national flag,Greeting others,Honesty,None of these,C,"Folkways are informal rules of behavior based on habit and tradition, such as greeting others."
2701,391,Plant Physiology,What is the I.Q. range for the category 'Genius' according to the Shaker Udal classification?,125-140,110-125,140 above,90-110,None of these,C,"According to the Shaker Udal classification, the I.Q. range for the category 'Genius' is 140 and above."
2702,391,Plant Physiology,What is the main purpose of social control in society?,To enforce laws,To maintain order and establish rules,To promote individualism,To encourage innovation,None of these,B,The main purpose of social control is to maintain order and establish rules in society.
2703,392,Extension,Which type of family is characterized by a man marrying more than one wife?,Polygyny family,Polyandry family,Patriarchal family,Matrilineal family,None of these,A,A polygyny family is defined as a family structure where a man marries more than one wife.
2704,392,Extension,In which type of family does the married couple and their children live with the wife's family?,Patri-local family,Matri-local family,Nuclear family,Joint family,None of these,B,A matri-local family is where the married couple and their children live with the wife's family.
2705,392,Extension,Which social category is most rigid and determined only by birth?,Social class,Caste,Norms,Laws,None of these,B,Caste is described as the most rigid social category and is determined only by birth.
2706,392,Extension,What is the basic unit of society?,Norms,Laws,Family,Social class,None of these,C,Family is defined as the basic unit of society.
2707,392,Extension,Which type of family is known for living together with more than one primary family based on blood relationship and common residence?,Nuclear family,Joint family,Patriarchal family,Matriarchal family,None of these,B,A joint family is characterized by more than one primary family living together based on blood relationship and common residence.
2708,392,Extension,What are the established behavior patterns for the members of a social system called?,Laws,Norms,Social class,Caste,None of these,B,Norms are the established behavior patterns that govern or regulate social action.
2709,392,Extension,Which type of family is also known as the primary family or conjugal family?,Joint family,Nuclear family,Polyandry family,Matriarchal family,None of these,B,"A nuclear family is also known as the primary family or conjugal family, including husband, wife, and their unmarried children."
2710,393,Extension,"Which type of social group is characterized by direct, face-to-face, and relatively permanent relationships?",Primary group,Secondary group,Formal group,Informal group,None of these,A,"Primary groups are defined by direct, face-to-face, and relatively permanent relationships, such as those found in families or groups of close friends."
2711,393,Extension,What is the main characteristic of a secondary group?,Small size and permanent relationships,Large size and goal-oriented relationships,Hierarchical structure and designated tasks,Rigidly enforced rules and procedures,None of these,B,"Secondary groups are relatively large in size and composed of indirect, goal-oriented relationships, which are often temporary."
2712,393,Extension,Which of the following is an example of a formal group?,Play group,Friendship group,Panchayat,Youth club,None of these,C,"Formal groups are organized based on hierarchical structures with designated tasks, such as a Panchayat."
2713,393,Extension,What defines a taboo in the context of culture?,Socially prescribed forms of behavior,Negative actions not consented by society,Essential and right forms of action,Accepted procedures of eating and meeting,None of these,B,"Taboos are types of mores for which society does not give consent and refer to negative actions, such as marriage within the family among Hindus."
2714,393,Extension,Which element of culture refers to the common ways of acting regarded as right and proper?,Beliefs,Values,Mores,Customs,None of these,C,"Mores are the common ways of acting that are regarded as right and proper, leading to punishment if violated."
2715,393,Extension,What is the primary function of beliefs in culture?,To attach importance to things and conditions,To serve as a means of social control,To prescribe forms of behavior,To form agreements among individuals,None of these,B,Beliefs serve as an important means of social control by accepting propositions as true.
2716,393,Extension,Which type of group is formed by individuals with common interests who volunteer to accomplish a purpose?,Primary group,Secondary group,Formal group,Voluntary group,None of these,D,"Voluntary groups are formed by individuals with common interests who enter into an agreement, usually as volunteers, to accomplish a purpose."
2717,394,Extension,Which type of leader is characterized by sharing decision-making and encouraging group participation?,Autocratic leader,Democratic leader,Free-rein leader,Laissez-faire leader,None of these,B,"A democratic leader shares decision-making and encourages group participation, unlike autocratic or laissez-faire leaders."
2718,394,Extension,Who is associated with the Gurgaon project initiated in 1920?,Daniel Hamilton,Ravindra Nath Tagore,F.L. Brayne,M.D. Tagore,None of these,C,F.L. Brayne is associated with the Gurgaon project initiated in 1920.
2719,394,Extension,Which leadership style involves treating followers like family members and providing them with welfare facilities?,Professional leadership,Paternalistic leadership,Formal leadership,Opinion leadership,None of these,B,Paternalistic leadership involves treating followers like family members and providing welfare facilities.
2720,394,Extension,What is the primary characteristic of a free-rein leader?,Avoids power and gives complete freedom to followers,Shares decision-making with group members,Treats followers like family members,Operates with distrust in people,None of these,A,A free-rein leader gives complete freedom to followers and avoids power.
2721,394,Extension,Which project was initially started in 8 villages of West Bengal?,Gurgaon project,Shantiniketan,Sriniketan,Rural reconstruction scheme,None of these,B,Shantiniketan was initially started in 8 villages of West Bengal.
2722,394,Extension,Which type of leader is recognized for holding formal positions of authority?,Lay-leader,Opinion leader,Formal leader,Professional leader,None of these,C,Formal leaders hold recognized positions of authority.
2723,394,Extension,Who is known for starting the Sriniketan project in 1921?,F.L. Brayne,Daniel Hamilton,Ravindra Nath Tagore,M.D. Tagore,None of these,C,Ravindra Nath Tagore started the Sriniketan project in 1921.
2724,395,Extension,Who is known as the Father of Extension?,Leagnes,Albert Mayor,S.K. Dey,Daniel Benor,None of these,A,"Leagnes is known as the Father of Extension, as mentioned in the source."
2725,395,Extension,Which project was initiated by Mahatma Gandhi in 1921?,Sewagram (Wardha),Marthandam project,Etawah Pilot project,Nilokheri Experiment,None of these,A,The Sewagram project in Wardha was initiated by Mahatma Gandhi in 1921.
2726,395,Extension,The National Extension Service was launched on which date?,2 Oct. 1952,2 Oct. 1953,2 Oct. 1951,2 Oct. 1950,None of these,B,The National Extension Service was launched on 2 Oct. 1953.
2727,395,Extension,Which program was initiated in 1966-67?,High Yielding Variety (HYV) Programme,Intensive Agricultural District Programme (IADP),Intensive Cattle Development Project (ICDP),Drought Prone Area Programme (DPAP),None of these,A,The High Yielding Variety (HYV) Programme was initiated in 1966-67.
2728,395,Extension,Who initiated the Bhoodan movement and in which year?,"Acharya Vinobha Bhave, 1951","Mahatma Gandhi, 1947","S.K. Dey, 1948","K.M. Munshi, 1947-48",None of these,A,The Bhoodan movement was initiated by Acharya Vinobha Bhave in 1951.
2729,395,Extension,Which project is also known as the package programme?,Intensive Agricultural District Programme (IADP),Intensive Cattle Development Project (ICDP),Intensive Agricultural Area Programme (IAAP),High Yielding Variety (HYV) Programme,None of these,A,The Intensive Agricultural District Programme (IADP) is also known as the package programme.
2730,395,Extension,In which year was the Training and Visit (T&V) system introduced?,1974,1971,1973,1977,None of these,A,The Training and Visit (T&V) system was introduced in 1974.
2731,396,Extension,When was the Lab to Land program merged?,June 1979,June 1989,June 1969,June 1999,None of these,A,The Lab to Land program was merged in June 1979.
2732,396,Extension,What is the primary principle behind Method Demonstration?,Learning by doing,Seeing is believing,Hands-off training,Theoretical learning,None of these,A,Method Demonstration is based on the principle of 'learning by doing' as it involves skill training.
2733,396,Extension,Which demonstration type is based on the principle 'seeing is believing'?,Method Demonstration,Result Demonstration,Participatory Rural Appraisal,Farmers Field School,None of these,B,Result Demonstration is based on the principle 'seeing is believing' as it shows the value of new practices.
2734,396,Extension,What is the main purpose of Participatory Rural Appraisal (PRA)?,To train farmers in new agricultural techniques,"To enable local people to share, enhance, and analyze their knowledge",To provide financial support to rural farmers,To conduct scientific research on agricultural practices,None of these,B,"Participatory Rural Appraisal (PRA) aims to enable local people to share, enhance, and analyze their knowledge of life and conditions."
2735,396,Extension,What is Farmers Field School (FFS) primarily known for?,Providing formal education to farmers,Teaching farmers to experiment and solve problems independently,Conducting soil testing and analysis,Offering financial loans to farmers,None of these,B,"Farmers Field School (FFS) is known for teaching farmers to experiment and solve problems independently, often used in IPM techniques."
2736,396,Extension,When was the National Rural Employment Guarantee Act (NAREGA) enacted?,September 2004,September 2005,February 2006,June 1979,None of these,B,The National Rural Employment Guarantee Act (NAREGA) was enacted in September 2005.
2737,396,Extension,What is the primary function of the Agriculture Technology Information Centre (ATIC)?,To provide financial support to farmers,To serve as a 'Single Window System' under the NATP project,To conduct agricultural research,To offer formal education to farmers,None of these,B,The Agriculture Technology Information Centre (ATIC) serves as a 'Single Window System' under the NATP project.
2738,397,Extension,What is the primary characteristic of remote sensing?,Acquiring information through physical contact,Acquiring information without physical contact,Processing information using AI,Judging other groups as inferior,None of these,B,Remote sensing is defined as the process of acquiring information about an object or phenomenon without making physical contact with it.
2739,397,Extension,Which of the following best describes Artificial Intelligence?,A process of acquiring information without physical contact,The ability of a computer to process information and produce outcomes,A tendency to think one's own group is superior,A feeling of anger or disappointment,None of these,B,"Artificial Intelligence is described as the ability of a computer or computer-enabled robotic system to process information and produce outcomes, resembling human thought processes."
2740,397,Extension,What is ethnocentrism?,The ability to understand another person's frame of mind,The tendency to think one's own group's ways are superior,A process of initiating a conscious and purposeful action,A feeling of happiness or love,None of these,B,Ethnocentrism is defined as the tendency of people to think that their own group's ways are superior to others or judging other groups as inferior.
2741,397,Extension,Which term describes the sensory experience of the world through which we gain information about our environment?,Communication fidelity,Perception,Empathy,Motivation,None of these,B,Perception is defined as the sensory experience of the world through which we gain information about our environment.
2742,397,Extension,What does communication fidelity refer to?,The ability to understand another person's frame of mind,The faithful performance of the communication process by all its elements,A feeling of anger or disappointment,A process of initiating a conscious and purposeful action,None of these,B,"Communication fidelity refers to the faithful performance of the communication process by all its elements: communicator, message, channel, and receiver."
2743,397,Extension,What is empathy?,A feeling of happiness or love,The ability to understand another person's internal frame of mind,A process of acquiring information without physical contact,The tendency to think one's own group's ways are superior,None of these,B,"Empathy is defined as the ability to understand another person's internal frame of mind and reference, and accept the same."
2744,397,Extension,Which type of motivation generates from within one's own self?,Extrinsic motivation,Intrinsic motivation,Communication fidelity,Perception,None of these,B,Intrinsic motivation is described as the type of motivation that generates from within one's own self.
2745,398,Extension,Which institution primarily carries out extension education in India?,Indian Council of Agricultural Research,State Agriculture University,National Bank for Agriculture,Rural Development Ministry,None of these,B,The source states that extension education in India is performed by State Agriculture Universities.
2746,398,Extension,The person who links higher department officials with the farming community is known as?,Agricultural officer,Village extension worker,Farm manager,Rural banker,None of these,B,A village extension worker is described as the connecting link between higher officials and farmers.
2747,398,Extension,"In extension communication, which mode is considered to have the highest sensory involvement?",Mass media,Print materials,Inter-personal communication,Telephone calls,None of these,C,The source notes that sensory situation is more in inter‑personal communication.
2748,398,Extension,The Training and Visit (T & V) system was first launched in which Indian state?,Gujarat,Maharashtra,Rajasthan,Punjab,None of these,C,"According to the source, the T & V system was first introduced in Rajasthan."
2749,398,Extension,"According to the source, what does ""Andragogy"" specifically refer to?",Teaching children,Teaching adults,Agricultural extension methods,Rural development strategies,None of these,B,Andragogy is defined as the art or science of teaching adults.
2750,398,Extension,A large group that is split into smaller units for brief discussions is termed as?,Focus group,Buzz session,Seminar,Workshop,None of these,B,The source calls this arrangement a buzz session.
2751,398,Extension,Which statement correctly describes an introvert personality as per the source?,Socially adaptable and sacrifices for others,Socially shy and focuses on own feelings,Highly extroverted and seeks leadership,Lacks any social interaction,None of these,B,Introvert personality is described as socially shy and interested in one's own feelings and reactions.
2752,399,Extension,Which of the following is a single sheet of paper of small size containing preliminary information on a topic?,Folder,Leaflet,Pamphlet,Booklet,None of these,B,Leaflet is defined as a single printed sheet of small size containing preliminary information on a topic.
2753,399,Extension,Which format contains complete information about a topic in 2-12 pages?,Folder,Pamphlet,Bulletin,Booklet,None of these,B,Pamphlet contains complete information about a topic in 2-12 pages.
2754,399,Extension,Which printed bound booklet with 12-20 pages contains comprehensive information?,Folder,Pamphlet,Bulletin,Booklet,None of these,C,"Bulletin is a printed, bound booklet with 12-20 pages containing comprehensive information."
2755,399,Extension,Which contains relatively large amount of content with 20-50 pages?,Folder,Leaflet,Pamphlet,Booklet,None of these,D,"Booklet contains a relatively large amount of content material, with pages ranging between 20 to 50."
2756,399,Extension,"Which is a systematic display of models, specimens, charts, photographs, pictures, posters, information etc. around a theme to create awareness and interest in the community?",Folder,Exhibition,Poster,Booklet,None of these,B,"Exhibition is defined as a systematic display of models, specimens, charts, photographs, pictures, posters, information etc. around a theme to create awareness."
2757,399,Extension,"Which of the following has the characteristics of Attractive, Brief and Clear?",Folder,Leaflet,Poster,Booklet,None of these,C,"Poster is characterized by Attractive, Brief and Clear (ABC)."
2758,399,Extension,"Which format is a single piece of paper folded once or twice, and when opened presents essential information in sequence?",Folder,Leaflet,Pamphlet,Bulletin,None of these,A,"Folder is a single piece of paper folded once or twice, and when opened presents essential information in sequence."
2759,400,Extension,From which Greek words is the term 'Economics' derived?,Oikos and Nomos,Oikonomia and Nomia,Oikos and Logos,Eco and Nomos,None of these,A,'Economics' is derived from the Greek words 'Oikos' meaning household and 'Nomos' meaning management.
2760,400,Extension,Which economist defined economics as the science of wealth?,Adam Smith,Marshall,Robbins,Hicks-Hansen,None of these,A,Adam Smith defined economics as the science of wealth in his book 'Wealth of Nations'.
2761,400,Extension,What is the reward for the factor of production 'Labour'?,Wage,Rent,Interest,Profit,None of these,A,"The reward for the factor of production 'Labour' is wage, as it is the active factor of production."
2762,400,Extension,Which theory is associated with A.P. Lerner?,Theory of inflation,Theory of profit,Population theory,Modern theory of interest,None of these,A,The theory associated with A.P. Lerner is the Theory of inflation.
2763,400,Extension,What is the formula for the Current Ratio in farm efficiency measures?,Current assets / Current liabilities,Total assets / Total liabilities,Working assets / Current liabilities,Gross income / Total farm income,None of these,A,The formula for the Current Ratio in farm efficiency measures is Current assets divided by Current liabilities.
2764,400,Extension,Which book was written by Robbins?,Science of Choice,Wealth of Nations,Theory of Inflation,Population Theory,None of these,A,The book 'Science of Choice' was written by Robbins.
2765,400,Extension,Which factor of production is considered passive?,Capital,Land,Labour,Entrepreneurship,None of these,A,"Capital is considered a passive factor of production, with its reward being interest."
2766,401,Extension,Which approach does production economics primarily use?,Macro approach,Micro approach,Inter farm science,Intra farm science,None of these,A,"Production economics primarily uses a macro approach, focusing on the aggregate resources of a nation."
2767,401,Extension,What type of cost varies with the level of output?,Fixed cost,Sunk cost,Variable cost,Non-cash cost,None of these,C,"Variable cost varies with the level of output, unlike fixed cost which remains constant."
2768,401,Extension,Which utility involves changing the form of a product to increase its value?,Place utility,Time utility,Form utility,Possession utility,None of these,C,"Form utility involves changing the form of a product, such as processing raw potatoes into potato chips."
2769,401,Extension,What is the main characteristic of fixed cost?,It varies with output,It is always in cash,It does not change with the level of output,It is known as the cost of variable inputs,None of these,C,Fixed cost is characterized by its invariability with changes in the level of output.
2770,401,Extension,Which utility is related to the transportation of goods?,Form utility,Place utility,Time utility,Possession utility,None of these,B,Place utility involves transporting goods from one place to another to satisfy demand.
2771,401,Extension,What is the primary focus of farm management?,Aggregate resources of a nation,Inter farm science,Individual farm decisions,Macro approach,None of these,C,"Farm management focuses on making decisions for individual farms, using a micro approach."
2772,401,Extension,Which utility involves storing goods for future use?,Form utility,Place utility,Time utility,Possession utility,None of these,C,Time utility involves storing goods during surplus production to use them during times of scarcity.
2773,402,Extension,Which of the following is NOT one of the 3 R's of credit?,Returns,Repayment capacity,Risk bearing ability,Revenue,None of these,D,"The 3 R's of credit are Returns, Repayment capacity, and Risk bearing ability. Revenue is not mentioned as one of the 3 R's."
2774,402,Extension,Which principle among the 7 P's of credit emphasizes the need for loans to be used for productive activities?,Principle of productive purpose,Principle of personality,Principle of productivity,Principle of phased disbursement,None of these,A,The Principle of productive purpose emphasizes that loans should be used for productive activities that generate income.
2775,402,Extension,A farmer owning 3 hectares of land is classified as a:,Marginal farmer,Small farmer,Semi-medium farmer,Medium farmer,None of these,C,A farmer owning 2-4 hectares of land is classified as a Semi-medium farmer.
2776,402,Extension,Which of the following loan terms is typically used for long-term financing in agriculture?,1 to 1.5 years,1.5 to 5 years,5 to 30 years,30 to 50 years,None of these,C,Long-term loans in agriculture typically range from 5 to 30 years.
2777,402,Extension,Which of the 5 C's of credit refers to the borrower's financial reserves?,Character,Capacity,Capital,Collateral,None of these,C,Capital refers to the borrower's financial reserves or net worth.
2778,402,Extension,What is the primary purpose of agricultural credit?,To finance agricultural transactions,To provide insurance to farmers,To offer subsidies to farmers,To regulate agricultural markets,None of these,A,Agricultural credit is used to finance agricultural transactions and activities.
2779,402,Extension,Which principle among the 7 P's of credit ensures that loans are disbursed in stages?,Principle of productive purpose,Principle of personality,Principle of phased disbursement,Principle of payment,None of these,C,The Principle of phased disbursement ensures that loans are disbursed in stages to match the project's progress.
2780,403,Extension,Which type of farming involves earning more than or equal to 50% of total income from a single enterprise?,Diversified farming,Specialized farming,Mixed farming,Dry farming,None of these,B,Specialized farming is defined as a farm where the income from a single enterprise is more than or equal to 50%.
2781,403,Extension,What is the term for the portion of total produce that a farmer is willing to sell?,Marketable surplus,Marketed surplus,Total production,Total requirement,None of these,A,Marketable surplus is the portion of total produce in stock which the farmer is willing to sell.
2782,403,Extension,Which system of farming involves a group of farmers working together and sharing resources?,Individual farming,Capitalistic farming,Cooperative farming,State farming,None of these,C,Cooperative farming involves a group of farmers working together and sharing resources to improve their farming practices.
2783,403,Extension,What does a B:C ratio greater than one indicate in agriculture?,The project is not beneficial,The project is beneficial,The project needs more investment,The project is at break-even point,None of these,B,"A B:C ratio greater than one indicates that the gross income is higher than the total cost of cultivation, making the project beneficial."
2784,403,Extension,Which curve shows combinations of two commodities that derive equal satisfaction to the consumer?,Iso-product curve,Indifference curve,Supply curve,Demand curve,None of these,B,An indifference curve shows combinations of two commodities that derive equal satisfaction to the consumer.
2785,403,Extension,What is the primary characteristic of diversified farming?,Income from a single product is more than 50%,Income from a single product is less than 50%,Income from multiple products is equal,Income from a single product is exactly 50%,None of these,B,Diversified farming is characterized by a farm where the income from a single product is less than 50% of the total income.
2786,403,Extension,Which type of cooperative farming involves farmers collectively owning and managing the farmland?,Cooperative better farming,Cooperative joint farming,Cooperative tenant farming,Cooperative collective farming,None of these,D,Cooperative collective farming involves farmers collectively owning and managing the farmland.
2787,404,Extension,Which type of loan is typically used for purchasing seeds and fertilizers?,Short term loan,Medium term loan,Long term loan,Mortgage loan,None of these,A,"Short term loans are specifically designed for purchasing seeds, fertilizers, and meeting family requirements."
2788,404,Extension,What is the primary purpose of a medium-term loan in agriculture?,To purchase seeds and fertilizers,To purchase agricultural equipment and animals,To purchase land and farm buildings,To repay old loans,None of these,B,"Medium-term loans are used for purchasing agricultural equipment, animals, and land improvement equipment."
2789,404,Extension,Which of the following is an example of a fixed asset in agriculture?,Cash,Seed,Land,Fertilizer,None of these,C,Fixed assets are difficult to convert into cash and include items like land and buildings.
2790,404,Extension,In which stage of production does the Marginal Product (MP) become negative?,Stage I,Stage II,Stage III,Stage IV,None of these,C,"In Stage III, also known as the stage of negative return, the Total Product (TP) starts to decline and the Marginal Product (MP) becomes negative."
2791,404,Extension,What is a characteristic of the rational zone in the stages of production?,MP increases at first then decreases,AP increases throughout the stage,AP starts to diminish while MP continues to decrease,Elasticity is more than one,None of these,C,"In the rational zone (Stage II), the Average Product (AP) starts to diminish while the Marginal Product (MP) continues to decrease, although it remains positive."
2792,404,Extension,Which stage of production is known for having elasticity more than one?,Stage I,Stage II,Stage III,Stage IV,None of these,A,"Stage I, also called the irrational zone, is characterized by having elasticity more than one."
2793,404,Extension,What type of asset is farm machinery classified as?,Fixed asset,Current asset,Working asset,Liquid asset,None of these,C,"Farm machinery is classified as a working asset, which is less liquid than current assets but more liquid than fixed assets."
2794,405,Extension,Which institution is responsible for maintaining financial stability in India?,Reserve Bank of India (RBI),State Bank of India (SBI),Agricultural Marketing (AGMARK),Bureau of Indian Standards (BIS),None of these,A,The Reserve Bank of India (RBI) is explicitly stated to maintain financial stability in India.
2795,405,Extension,Which organization ensures that a product is environment friendly?,AGMARK,ECOMARK,BIS,SBI,None of these,B,ECOMARK is given to ensure that the product is environment friendly.
2796,405,Extension,When was the State Bank of India (SBI) established?,1935,1955,1937,1987,None of these,B,The State Bank of India (SBI) was established in 1955.
